# Event Log Opened on 2019-03-26T14:26:46.539206
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0370 58568.602183064686 52028 616788.867   1.457128   1.000459
0371 58568.602183288043 52028 636086.942   1.684943   1.002739
0372 58568.602183478783 52028 652566.811   1.402534   1.001457
0373 58568.602183661285 52028 668335.057   1.591138   0.995307
0374 58568.602183896088 52028 688621.987   2.066505   1.000518
0375 58568.602184128169 52028 708673.804   1.341148   0.999128
0376 58568.602184313764 52028 724709.223   1.724200   0.995877
0377 58568.602184521609 52028 742667.031   1.382622   1.000440
0378 58568.602184725474 52028 760280.972   1.431976   1.000942
0379 58568.602184894480 52028 774883.086   1.479170   0.998519
0380 58568.602185075848 52028 790553.263   1.363190   0.996292
0381 58568.602185289645 52028 809025.302   1.861499   0.992682
0382 58568.602185456599 52028 823450.138   1.528300   1.000579
0383 58568.602185664931 52028 841450.065   2.227945   1.006240
0384 58568.602185852222 52028 857631.958   1.417302   1.003572
0385 58568.602186050302 52028 874746.128   2.868108   1.004084
0386 58568.602186299540 52028 896280.285   1.419208   0.998611
0387 58568.602186512580 52028 914686.944   1.336606   1.003969
0388 58568.602186709082 52028 931664.699   1.732149   0.999677
0389 58568.602186971839 52028 954366.874   1.376776   1.002874
0390 58568.602187167220 52028 971247.817   1.397462   1.000071
0391 58568.602187375640 52028 989255.289   1.622592   1.002249
0392 58568.602187593322 52029   8063.022   1.362461   0.999099
0393 58568.602187761200 52029  22567.696   1.527422   1.003840
0394 58568.602187954697 52029  39285.821   1.344746   0.999454
0395 58568.602188176068 52029  58412.276   2.175827   1.000179
0396 58568.602188410245 52029  78645.143   1.746756   0.997547
0397 58568.602188668701 52029 100975.790   1.372714   0.997799
0398 58568.602188841447 52029 115901.026   1.942114   0.997945
0399 58568.602189023739 52029 131651.041   1.506811   0.996753
0400 58568.602189222707 52029 148841.905   1.653371   0.998631
0401 58568.602189409939 52029 165018.769   1.347506   0.998074
0402 58568.602189575533 52029 179326.049   1.533506   1.002449
0403 58568.602189856560 52029 203606.746   1.489720   0.995648
0404 58568.602190053927 52029 220659.309   1.825888   0.998423
0405 58568.602190277394 52029 239966.813   1.353461   0.998524
0406 58568.602190501340 52029 259315.808   1.445579   0.995589
0407 58568.602190690232 52029 275636.002   1.589801   1.001184
0408 58568.602190909769 52029 294604.040   1.670122   0.998836
0409 58568.602191102465 52029 311253.014   1.283497   0.994608
0410 58568.602191294318 52029 327829.066   1.409973   1.001768
0411 58568.602191502723 52029 345835.280   1.485990   1.000774
0412 58568.602191678729 52029 361042.148   1.478513   1.000549
0413 58568.602191850325 52029 375868.058   1.303352   0.992584
0414 58568.602192057027 52029 393727.169   1.412563   1.005444
0415 58568.602192238221 52029 409382.259   1.289489   1.000214
0416 58568.602192413484 52029 424525.006   1.343883   1.000986
0417 58568.602192634477 52029 443618.772   1.433370   1.002613
0418 58568.602192811537 52029 458916.793   1.553705   1.000075
0419 58568.602192998980 52029 475111.887   1.765680   1.001413
0420 58568.602193251376 52029 496918.875   1.354994   0.999313
0421 58568.602193428742 52029 512243.299   1.570190   0.998229
0422 58568.602193607156 52029 527658.247   1.303659   1.003446
0423 58568.602193812163 52029 545370.885   1.210710   1.000019
0424 58568.602193989871 52029 560724.855   1.128721   0.997267
0425 58568.602194165855 52029 575929.837   1.321837   0.999267
0426 58568.602194371946 52029 593736.143   1.326973   1.004446
0427 58568.602194557534 52029 609770.933   1.860185   0.998286
0428 58568.602194723157 52029 624080.728   1.314989   0.997085
0429 58568.602194909596 52029 640189.069   2.242425   1.000133
0430 58568.602195137129 52029 659847.985   1.490464   1.000978
0431 58568.602195374260 52029 680336.080   1.322392   1.000432
0432 58568.602195683692 52029 707070.999   1.407326   1.003243
0433 58568.602195913227 52029 726902.791   1.506091   0.999386
0434 58568.602196216663 52029 753119.708   1.329032   1.001504
0435 58568.602196399457 52029 768913.100   1.348248   0.997826
0436 58568.602196602915 52029 786491.836   1.429475   1.001904
0437 58568.602196817199 52029 805005.994   1.913505   1.000206
0438 58568.602197022730 52029 822763.894   1.428829   0.996859
0439 58568.602197298656 52029 846603.912   1.649551   0.999970
0440 58568.602197494540 52029 863528.232   1.568574   1.002650
0441 58568.602197731212 52029 883976.723   2.322765   1.005540
0442 58568.602197969893 52029 904598.719   1.199056   1.000557
0443 58568.602198145825 52029 919799.301   1.095413   0.997933
0444 58568.602198404886 52029 942182.126   2.008422   1.003445
0445 58568.602198626635 52029 961341.270   1.785877   1.001281
0446 58568.602198848632 52029 980521.789   0.983476   1.004420
0447 58568.602199093912 52030   1713.964   1.140051   0.999530
0448 58568.602199309156 52030  20311.102   1.238074   1.001867
0449 58568.602199600071 52030  45446.125   1.245641   0.999044
0450 58568.602199822693 52030  64680.707   2.165852   1.000674
0451 58568.602200068446 52030  85913.744   0.965464   0.999603
0452 58568.602200314876 52030 107205.245   1.262400   1.001174
0453 58568.602200544003 52030 127001.833   1.440224   1.001393
0454 58568.602200812209 52030 150174.862   1.389237   1.000998
0455 58568.602200999572 52030 166363.041   1.680118   1.000294
0456 58568.602201238355 52030 186993.838   1.055542   0.999671
0457 58568.602201436297 52030 204096.064   1.257610   0.997236
0458 58568.602201661073 52030 223516.724   1.660184   1.000707
